number,solved,mode,solution
1000,TRUE,2,1*0 = 0*0
1001,TRUE,1,1+0 = 0+1
1002,TRUE,2,1*0 = 0*2
1003,TRUE,2,1*0 = 0*3
1004,TRUE,2,1*0 = 0*4
1005,TRUE,2,1*0 = 0*5
1006,TRUE,2,1*0 = 0*6
1007,TRUE,2,1*0 = 0*7
1008,TRUE,2,1*0 = 0*8
1009,TRUE,2,1*0 = 0*9
1010,TRUE,1,1+0 = 1+0
1011,TRUE,3,1^0 = 1^1
1012,TRUE,1,1+1 = 0+2
1013,TRUE,3,1^0 = 1^3
1014,TRUE,3,1^0 = 1^4
1015,TRUE,3,1^0 = 1^5
1016,TRUE,3,1^0 = 1^6
1017,TRUE,3,1^0 = 1^7
1018,TRUE,3,1^0 = 1^8
1019,TRUE,3,1^0 = 1^9
1020,TRUE,2,1*0 = 2*0
1021,TRUE,1,1+1 = 0+2
1022,TRUE,4,1*0+2 = 2
1023,TRUE,1,1+2 = 0+3
1024,TRUE,5,0!+1+2 = 4
1025,TRUE,5,0!^2 = 1^5
1026,TRUE,5,0!^2 = 1^6
1027,TRUE,5,0!^2 = 1^7
1028,TRUE,5,0!^2 = 1^8
1029,TRUE,5,0!^2 = 1^9
1030,TRUE,2,1*0 = 3*0
1031,TRUE,3,1^0 = 1^3
1032,TRUE,1,1+2 = 0+3
1033,TRUE,4,1*0+3 = 3
1034,TRUE,1,1+3 = 0+4
1035,TRUE,5,0!+1+3 = 5
1036,TRUE,5,0!^3 = 1^6
1037,TRUE,5,0!^3 = 1^7
1038,TRUE,5,0!^3 = 1^8
1039,TRUE,5,0!^3 = 1^9
1040,TRUE,2,1*0 = 4*0
1041,TRUE,3,1^0 = 1^4
1042,TRUE,5,0!+1+2 = 4
1043,TRUE,1,1+3 = 0+4
1044,TRUE,4,1*0+4 = 4
1045,TRUE,1,1+4 = 0+5
1046,TRUE,5,0!+1+4 = 6
1047,TRUE,5,0!^4 = 1^7
1048,TRUE,5,0!^4 = 1^8
1049,TRUE,5,0!^4 = 1^9
1050,TRUE,2,1*0 = 5*0
1051,TRUE,3,1^0 = 1^5
1052,TRUE,5,0!^5 = 1^2
1053,TRUE,5,0!+1+3 = 5
1054,TRUE,1,1+4 = 0+5
1055,TRUE,4,1*0+5 = 5
1056,TRUE,1,1+5 = 0+6
1057,TRUE,5,0!+1+5 = 7
1058,TRUE,5,0!^5 = 1^8
1059,TRUE,5,0!^5 = 1^9
1060,TRUE,2,1*0 = 6*0
1061,TRUE,3,1^0 = 1^6
1062,TRUE,5,0!^6 = 1^2
1063,TRUE,5,0!^6 = 1^3
1064,TRUE,5,0!+1+4 = 6
1065,TRUE,1,1+5 = 0+6
1066,TRUE,4,1*0+6 = 6
1067,TRUE,1,1+6 = 0+7
1068,TRUE,5,0!+1+6 = 8
1069,TRUE,5,0!^6 = 1^9
1070,TRUE,2,1*0 = 7*0
1071,TRUE,3,1^0 = 1^7
1072,TRUE,5,0!^7 = 1^2
1073,TRUE,5,0!^7 = 1^3
1074,TRUE,5,0!^7 = 1^4
1075,TRUE,5,0!+1+5 = 7
1076,TRUE,1,1+6 = 0+7
1077,TRUE,4,1*0+7 = 7
1078,TRUE,1,1+7 = 0+8
1079,TRUE,5,0!+1+7 = 9
1080,TRUE,2,1*0 = 8*0
1081,TRUE,3,1^0 = 1^8
1082,TRUE,5,0!^8 = 1^2
1083,TRUE,5,0!^8 = 1^3
1084,TRUE,5,0!^8 = 1^4
1085,TRUE,5,0!^8 = 1^5
1086,TRUE,5,0!+1+6 = 8
1087,TRUE,1,1+7 = 0+8
1088,TRUE,4,1*0+8 = 8
1089,TRUE,1,1+8 = 0+9
1090,TRUE,2,1*0 = 9*0
1091,TRUE,3,1^0 = 1^9
1092,TRUE,5,0!^9 = 1^2
1093,TRUE,5,0!^9 = 1^3
1094,TRUE,5,0!^9 = 1^4
1095,TRUE,5,0!^9 = 1^5
1096,TRUE,5,0!^9 = 1^6
1097,TRUE,5,0!+1+7 = 9
1098,TRUE,1,1+8 = 0+9
1099,TRUE,4,1*0+9 = 9
1100,TRUE,1,1+0 = 1+0
1101,TRUE,3,1^0 = 1^1
1102,TRUE,1,1+1 = 0+2
1103,TRUE,3,1^0 = 1^3
1104,TRUE,3,1^0 = 1^4
1105,TRUE,3,1^0 = 1^5
1106,TRUE,3,1^0 = 1^6
1107,TRUE,3,1^0 = 1^7
1108,TRUE,3,1^0 = 1^8
1109,TRUE,3,1^0 = 1^9
1110,TRUE,3,1^1 = 1^0
1111,TRUE,1,1+1 = 1+1
1112,TRUE,3,1^1 = 1^2
1113,TRUE,1,1+1+1 = 3
1114,TRUE,3,1^1 = 1^4
1115,TRUE,3,1^1 = 1^5
1116,TRUE,3,1^1 = 1^6
1117,TRUE,3,1^1 = 1^7
1118,TRUE,3,1^1 = 1^8
1119,TRUE,3,1^1 = 1^9
1120,TRUE,1,1+1 = 2+0
1121,TRUE,3,1^2 = 1^1
1122,TRUE,1,1+2 = 1+2
1123,TRUE,3,1^2 = 1^3
1124,TRUE,1,1+1+2 = 4
1125,TRUE,3,1^2 = 1^5
1126,TRUE,3,1^2 = 1^6
1127,TRUE,3,1^2 = 1^7
1128,TRUE,3,1^2 = 1^8
1129,TRUE,3,1^2 = 1^9
1130,TRUE,3,1^3 = 1^0
1131,TRUE,1,1+1+1 = 3
1132,TRUE,3,1^3 = 1^2
1133,TRUE,1,1+3 = 1+3
1134,TRUE,3,1^3 = 1^4
1135,TRUE,1,1+1+3 = 5
1136,TRUE,3,1^3 = 1^6
1137,TRUE,3,1^3 = 1^7
1138,TRUE,3,1^3 = 1^8
1139,TRUE,3,1^3 = 1^9
1140,TRUE,3,1^4 = 1^0
1141,TRUE,3,1^4 = 1^1
1142,TRUE,1,1+1+2 = 4
1143,TRUE,3,1^4 = 1^3
1144,TRUE,1,1+4 = 1+4
1145,TRUE,3,1^4 = 1^5
1146,TRUE,1,1+1+4 = 6
1147,TRUE,3,1^4 = 1^7
